OBJECTID *,District,id,name,region,icao,latitude,longitude,elevation,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,distance
34,Detroit Lakes,KDTL0,Detroit Lakes / Richards,MN,KDTL,46.8252,-95.8856,426,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,146087.9318
35,Detroit Lakes,KFFM0,Fergus Falls / French,MN,KFFM,46.2844,-96.1567,361,1/1/2005,7/31/2023,1/1/2005,4/24/2022,1/1/2008,1/1/2022,149182.3163
36,Detroit Lakes,KMOX0,Morris,MN,KMOX,45.566,-95.9672,346,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,151292.4279
37,Detroit Lakes,KJKJ0,Moorhead / Park Lane Mobile Home Park,MN,KJKJ,46.8393,-96.664,280,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,200670.3798
38,Baxter,KBRD0,Brainerd / Lazy Acre's Trailer Court,MN,KBRD,46.4017,-94.1356,376,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,25578.34021
39,Baxter,KLXL0,Little Falls / Gregory,MN,KLXL,45.9494,-94.3471,342,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2007,1/1/2022,27343.07633
40,Baxter,KSAZ0,Staples,MN,KSAZ,46.3809,-94.8066,393,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,50113.47442
41,Baxter,KPWC0,Pine River,MN,KPWC,46.7248,-94.3817,395,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,61813.3837
42,Baxter,72655,Saint Cloud / St Cloud / Cable,MN,KSTC,45.5466,-94.0599,314,1/1/1973,7/31/2023,9/1/1904,7/23/2023,1/1/1904,1/1/2022,71527.51774
43,Baxter,KPNM0,Princeton / Princetown [Misspelling],MN,KPNM,45.5599,-93.6082,299,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,83765.41597
44,Duluth,KHZX0,McGregor,MN,KHZX,46.6188,-93.3098,374,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2007,1/1/2022,85367.95846
45,Duluth,KGPZ0,Grand Rapids / Country Acres Mobile Home Park,MN,KGPZ,47.2093,-93.5099,413,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,126743.2123
46,Duluth,KCOQ0,Cloquet,MN,KCOQ,46.7011,-92.5036,390,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2007,1/1/2022,143939.7949
47,Duluth,72745,Duluth International Airport,MN,KDLH,46.8333,-92.2167,435,1/1/1948,7/31/2023,1/1/1948,7/23/2023,1/1/1948,1/1/2022,169872.9025
48,Duluth,KHIB0,Hibbing-Chisholm / Wilpen,MN,KHIB,47.3866,-92.839,413,1/1/1973,7/31/2023,1/1/1973,4/24/2022,1/1/1973,1/1/2022,170623.5265
49,Duluth,KFOZ0,Bigfork,MN,KFOZ,47.7828,-93.6502,412,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2007,1/1/2022,183470.697
50,Duluth,KEVM0,Eveleth / Genoa,MN,KEVM,47.4251,-92.4981,420,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2009,1/1/2022,190815.2091
51,Duluth,KCQM0,Cook,MN,KCQM,47.8218,-92.6906,405,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,216423.1065
52,Duluth,KORB0,Orr / Glendale,MN,KORB,48.0159,-92.8561,400,1/1/2006,7/31/2023,1/1/2006,4/11/2022,1/1/2006,1/1/2022,228884.1757
53,Duluth,KELO0,Ely Municipal Airport / Northern Terrace Mobile Home Park,MN,KELO,47.8246,-91.8307,444,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2021,257587.7204
54,Bemidji,72755,Bemidji,MN,KBJI,47.5,-94.9333,423,1/1/2006,7/31/2023,2/1/1896,7/23/2023,1/1/1896,1/1/2022,156427.5396
55,Bemidji,KFSE0,Fosston,MN,KFSE,47.5928,-95.7735,390,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2007,1/1/2022,196386.6206
56,Bemidji,KCKN0,Crookston / Shirley,MN,KCKN,47.8417,-96.6215,274,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2007,1/1/2022,259243.6431
57,Bemidji,KHCO0,Hallock / Viking Land Terrace,MN,KHCO,48.7527,-96.943,250,1/1/2006,7/31/2023,1/1/2006,4/24/2022,1/1/2006,1/1/2022,351596.3559
